headliner,support,year,date,time,ticket_price,
Family of the Year,Casey Bolles,2015,Saturday Nov 14,7:00 PM,"			 $18       ",
Crookers,"RaceCarBed, Smudge",2015,Friday Nov 13,10:30 PM,"			 $18.00       ",
Nada Surf,Slothrust,2015,Friday Nov 13,7:00 PM,"			 $30       ",
Minnesota,Space Jesus,2015,Thursday Nov 12,10:00 PM,"			 $20.00       ",
GIVERS,Doe Paoro,2015,Wednesday Nov 11,Doors: 7:00 pm / Show: 7:00 pm ,"			 $18       ",
Public Image Ltd (PIL),,2015,Tuesday Nov 10,7:00 PM,"			 $30       ",
SBCR (The Bloody Beetroots),Basscamp,2015,Saturday Nov 7,11:00 PM,"			 $25.00       ",
ODESZA (at 9:30 Club),"Hayden James, Louis Futon",2015,Saturday Nov 7,10:00 PM,"			 $25       ",
Yacht,Larry Gus,2015,Saturday Nov 7,7:00 PM,"			 $20       ",
ODESZA (at 9:30 Club),"Hayden James, Kasbo",2015,Saturday Nov 7,5:30 PM,"			 $25       ",
Motez,Sumner,2015,Friday Nov 6,10:30 PM,"			 $12.00       ",
Bakermat (at 9:30 Club),Feed Me Disco with Eau Claire,2015,Friday Nov 6,10:00 PM,"			 $20       ",
MURS,"Red Pill, King Fantastic",2015,Friday Nov 6,7:00 PM,"			 $16       ",
Jai Wolf,"Yung Wall Street, Dirty Chocolate",2015,Thursday Nov 5,10:00 PM,"			 $12.00       ",
Gorgon City (at 9:30 Club),"with Special Guests Kidnap Kid, Waze & Odyssey",2015,Thursday Nov 5,7:00 PM,"			 $25       ",
Ed Rush & Optical,"The Upbeats, ODJ vs Encryption",2015,Wednesday Nov 4,10:30 PM,"			 $15.00 - $20.00       ",
Mod Sun,"New Beat Fund, Allday, Benny Freestyles",2015,Wednesday Nov 4,6:30 PM,"			 $15       ",
Lido (at 9:30 Club),"Tunji Ige, Teszero, Brad Piff",2015,Tuesday Nov 3,8:00 PM,"			 $20       ",
TOPS,"Puro Instinct, Go Cozy",2015,Monday Nov 2,7:00 PM,"			 $15       ",
Troye Sivan,DJ Shea Van Horn,2015,Sunday Nov 1,7:00 PM,"			 $15       ",
U Hell Halloween party with Gent & Jawns,"Jen Lasher, Cosby",2015,Saturday Oct 31,10:30 PM,"			 $15.00       ",
Chad Valley & Keep Shelly In Athens,"Stranger Cat, Different Sleep",2015,Saturday Oct 31,6:00 PM,"			 $20       ",
Thugfucker,"Edo, Bobi Stevkovski",2015,Friday Oct 30,10:30 PM,"			 $10.00       ",
Raury,Sunny and Gabe,2015,Friday Oct 30,7:00 PM,"			 $17       ",
Crizzly,,2015,Thursday Oct 29,10:30 PM,"			 $10.00       ",
IAMX,Mr. Kitty,2015,Thursday Oct 29,7:00 PM,"			 $25       ",
"Goth-Trad, Sam Binga, and Malleus",Refugee,2015,Wednesday Oct 28,10:30 PM,"			 $10.00       ",
Strange Talk,Intergalactix,2015,Wednesday Oct 28,7:00 PM,"			 $16       ",
ALUNAGEORGE,Roland Tings,2015,Tuesday Oct 27,7:00 PM,"			 $22       ",
Lil Dicky,Alex Wiley,2015,Monday Oct 26,Doors: 7:00 pm / Show: 7:00 pm ,"			 $25       ",
Green River Ordinance,"The Last Bison, Sean McConnell",2015,Sunday Oct 25,7:00 PM,"			 $16       ",
Midland,Navbox,2015,Saturday Oct 24,10:30 PM,"			 $10.00       ",
Mikky Ekko,Transviolet,2015,Saturday Oct 24,7:00 PM,"			 $15       ",
Tittsworth & Friends,"Doorly & Tittsworth, 814ofCourse",2015,Friday Oct 23,10:30 PM,"			 $10.00       ",
Autre Ne Veut,"GEMS, MAZED",2015,Friday Oct 23,7:00 PM,"			 $15       ",
Claude VonStroke,"Will Clarke, Ozker",2015,Thursday Oct 22,10:00 PM,"			 $16.00       ",
Matoma (at 9:30 Club),"RESCHEDULED to 4/9 PRINCE FOX, Boehm, Bryce Vine",2015,Wednesday Oct 21,11:00 PM,"			 $20       ",
Nightmares on Wax (DJ Set),Christine Moritz,2015,Wednesday Oct 21,10:00 PM,"			 $12.00       ",
Yuna,Abhi//Dijon,2015,Tuesday Oct 20,7:00 PM,"			 $25       ",
Penthouse Penthouse and StÃ©Louse,"Dirty Chocolate, Beau Young Prince, Diversa, Chiefs, Dugong Jr, Fossa Beats",2015,Sunday Oct 18,10:30 PM,"			 $10.00       ",
Andra Day,,2015,Sunday Oct 18,7:00 PM,"			 $20       ",
Jonas Rathsman,"Andy Grant, Citizen Select",2015,Saturday Oct 17,10:00 PM,"			 $18.00       ",
Miguel Migs,"Sam Burns, Tim Jackson",2015,Friday Oct 16,10:30 PM,"			 $15.00       ",
Oddisee,Good Compny,2015,Friday Oct 16,7:00 PM,"			 $20       ",
Lane 8,whiteowljaguar,2015,Thursday Oct 15,10:00 PM,"			 $12.00       ",
Goldroom,Gavin Turek,2015,Wednesday Oct 14,10:30 PM,"			 $15.00       ",
Joywave,"Grace Mitchell, Kopps",2015,Wednesday Oct 14,6:00 PM,"			 $15       ",
Reptar,"Young Empires, Breathers",2015,Tuesday Oct 13,7:00 PM,"			 $18       ",
R. City AKA Rock City (POSTPONED),Avery Wilson,2015,Monday Oct 12,7:00 PM,"			 $15       ",
So Far Gone Drake Night,"Gun$ Garcia, Magglezzz",2015,Sunday Oct 11,10:00 PM,"			 $5.00 - $10.00       ",
Royal & Ben Browning (DJ set),Keylow,2015,Saturday Oct 10,10:30 PM,"			 $10.00       ",
Lissie,"Tyler Lyle, Chase Cohl",2015,Saturday Oct 10,7:00 PM,"			 $20       ",
Danny Howells,R&B,2015,Friday Oct 9,10:00 PM,"			 $12.00       ",
Spirit Animal,Lewis Del Mar,2015,Thursday Oct 8,8:00 PM,"			 $10.00       ",
Autechre,"Cygnus, Rob Hall",2015,Wednesday Oct 7,9:00 PM,"			 $20.00       ",
Oberhofer,Honduras,2015,Tuesday Oct 6,7:00 PM,"			 $15       ",
Seoul,Young Ejecta,2015,Monday Oct 5,7:00 PM,"			 $15       ",
Emily Kinney (from The Walking Dead),"AJ Smith, Jen Miller",2015,Sunday Oct 4,6:30 PM,"			 $25       ",
Tensnake,"Juan Zapata, Heather Femia",2015,Saturday Oct 3,10:00 PM,"			 $15.00       ",
Kenny Dope,"Prosumer, All Good Funk Alliance (DJ set)",2015,Friday Oct 2,10:00 PM,"			 $10.00       ",
Bob Moses,Desert Sound Colony,2015,Thursday Oct 1,11:00 PM,"			 $12.00       ",
Wolf Alice,Drenge,2015,Thursday Oct 1,7:00 PM,"			 $20       ",
Brasstracks (live),"Lindsay Lowend, Father Dude (live), Lean Quatifah, Catious Clay and Lyrx (live)",2015,Wednesday Sep 30,10:00 PM,"			 $10.00 - $15.00       ",
Bridget Kelly (NEW DATE),"Jermaine Crawford, Savannah",2015,Wednesday Sep 30,7:00 PM,"			 $15       ",
Mutemath,Quiet Entertainer,2015,Tuesday Sep 29,7:00 PM,"			 $22       ",
COIN & Colony House,Flor,2015,Monday Sep 28,7:00 PM,"			 $16       ",
CocoRosie,Olivia Neutron-John,2015,Sunday Sep 27,7:00 PM,"			 $25       ",
The Last BLISS with Will Eastman (6 hour set),,2015,Saturday Sep 26,10:30 PM,"			 $10.00       ",
Mynabirds,"Stranger Cat, Bad Bad Hats",2015,Saturday Sep 26,6:00 PM,"			 $15       ",
J. Phlip,"Christian Martin, Charles Martin",2015,Friday Sep 25,10:30 PM,"			 $12.00       ",
Marian Hill,Heavy Mellow,2015,Friday Sep 25,7:00 PM,"			 $15       ",
Sam Feldt,Seba Yuri,2015,Thursday Sep 24,10:30 PM,"			 $15.00       ",
Robert DeLong,Ozker,2015,Thursday Sep 24,7:00 PM,"			 $18       ",
The Cribs,Farao,2015,Wednesday Sep 23,7:00 PM,"			 $20       ",
Mikal Cronin,"Calvin Love, The Cairo Gang",2015,Tuesday Sep 22,7:00 PM,"			 $15       ",
Julio Bashmore,"Youandewan, Trev-ski",2015,Saturday Sep 19,10:30 PM,"			 $12.00       ",
SayWeCanFly,"Wind In Sails, Casey Bolles, Sounds Like Harmony",2015,Saturday Sep 19,6:00 PM,"			 $15       ",
Gaiser (live),"Tittsworth, Steve Kirn",2015,Friday Sep 18,10:30 PM,"			 $15.00       ",
Viceroy (at 9:30 Club),"Rainer + Grimm, Mr. Bonkerz",2015,Friday Sep 18,8:00 PM,"			 $18       ",
Vacationer,Great Good Fine Ok,2015,Friday Sep 18,7:00 PM,"			 $18       ",
Pearson Sound & Ron Morelli,"Beautiful Swimmers, Refugee",2015,Thursday Sep 17,9:00 PM,"			 $10.00       ",
Rita Ora,DJ Quicksilva,2015,Tuesday Sep 15,7:00 PM,"			 $25       ",
Jess Glynne,Francesco Yates,2015,Monday Sep 14,7:00 PM,"			 $15       ",
EDX,"Croatia Squad, MLEM, Khaleel",2015,Sunday Sep 13,10:00 PM,"			 $10.00 - $20.00       ",
Melanie Martinez,Handsome Ghost,2015,Sunday Sep 13,7:00 PM,"			 $20       ",
Recondite,"DJ Lisa Frank, Ron Jackson",2015,Saturday Sep 12,10:30 PM,"			 $20.00       ",
White Ford Bronco,,2015,Saturday Sep 12,7:00 PM,"			 $20       ",
Jacques Renault,"zacheser, Ken Lazee",2015,Friday Sep 11,10:30 PM,"			 $10.00       ",
Chelsea Wolfe,Wovenhand,2015,Friday Sep 11,6:30 PM,"			 $18       ",
TRUTH,"Mr. Bill, Starkey, Ill-Esha, Instagib w/ MC Twisty",2015,Thursday Sep 10,9:00 PM,"			 $15.00       ",
Pouya,"Fat Nick, Mikey the Magician, Don Krez, Germ",2015,Wednesday Sep 9,7:30 PM,"			 $20.00 - $40.00       ",
Say Lou Lou,Phoebe Ryan,2015,Tuesday Sep 8,7:00 PM,"			 $15       ",
Blackbear,$KINNY,2015,Monday Sep 7,7:00 PM,"			 $15       ",
Huxley,"DJ Nav, Julius Jetson",2015,Saturday Sep 5,10:30 PM,"			 $10.00       ",
Mick Jenkins & STWO,"Myth Syzer, J Stock",2015,Saturday Sep 5,7:00 PM,"			 $20       ",
Wave Racer,"Special Guest: Le Youth, Misawa & Jordan James",2015,Friday Sep 4,10:00 PM,"			 $10.00       ",
Andy C,"Ken Lazee, D-Fect",2015,Thursday Sep 3,10:00 PM,"			 $15.00       ",
Official Trillectro Afterparty,"Nadus, Geotheory, Louie Lastic, Rex Riot, DJ K-Meta",2015,Saturday Aug 29,10:30 PM,"			 $10.00       ",
Sage Francis,Seez Mics,2015,Saturday Aug 29,7:00 PM,"			 $20       ",
Maxxi Soundsystem,"Walker & Royce, Jus Nowhere, Jackson Ryland",2015,Friday Aug 28,10:30 PM,"			 $12.00       ",
Alessia Cara,"Craig Strickland, Sebastian Kole",2015,Friday Aug 28,7:00 PM,"			 $15       ",
Stooki Sound,"Dirty Chocolate, Keylow",2015,Thursday Aug 27,10:30 PM,"			 $10.00       ",
Â¡Mayday! & Footwerk,Kap Kallous,2015,Thursday Aug 27,7:00 PM,"			 $15       ",
BLISS with Will Eastman & Philip Goyette,,2015,Saturday Aug 22,10:00 PM,"			 $10.00       ",
Eelke Kleijn,"Charles Martin, DJ Octane",2015,Friday Aug 21,10:00 PM,"			 $10.00       ",
Nicolas Jaar DJ Set,Brian Billion,2015,Thursday Aug 20,10:00 PM,"			 $25.00       ",
Film Noir,"Alexander Lewis, Medasin Masego & Special Guests",2015,Wednesday Aug 19,10:00 PM,"			 $5.00 - $7.00       ",
Louis the Child & Shawn Wasabi,JR Nelson,2015,Saturday Aug 15,10:30 PM,"			 $12.00       ",
OverDoz.,Visto,2015,Saturday Aug 15,7:00 PM,"			 $15       ",
"The Black Madonna, Martyn, Max D",,2015,Friday Aug 14,10:00 PM,"			 $10.00       ",
Shades (EPROM & Alix Perez),"Julez, Seany Ranks & Vanniety Kills",2015,Thursday Aug 13,9:00 PM,"			 $10.00       ",
Drumsound & Bassline Smith w/ Tantrum Desire,"Psykofly, Droosie",2015,Wednesday Aug 12,10:00 PM,"			 $15.00       ",
Jerome Baker III & Spinser Tracy,,2015,Tuesday Aug 11,10:00 PM,"			 $10.00 - $15.00       ",
Vic Mensa,TOWKIO,2015,Tuesday Aug 11,7:00 PM,"			 $25       ",
Hardkiss - Delusions of Grandeur,"Buster, LoveGrove",2015,Saturday Aug 8,10:30 PM,"			 $15.00       ",
Kenny Larkin,"ATAXIA, Boss Ross",2015,Friday Aug 7,10:00 PM,"			 $15.00       ",
JayCeeOh,"Riot Ten, Tripnotic",2015,Thursday Aug 6,10:00 PM,"			 $12.00       ",
Young Rising Sons and Hunter Hunted,CRUISR,2015,Monday Aug 3,7:00 PM,"			 $15       ",
Sweater Beats,"HOODBOI, Keylow, Tastefaker",2015,Sunday Aug 2,9:00 PM,"			 Free with RSVP       ",
Green Velvet,"Tittsworth, Philip Goyette",2015,Saturday Aug 1,10:30 PM,"			 $18.00       ",
Alle Farben,Feed Me Disco with Eau Claire,2015,Friday Jul 31,10:00 PM,"			 $10.00       ",
Erol Alkan,Will Eastman,2015,Thursday Jul 30,10:00 PM,"			 $12.00       ",
Sheppard,Lawson,2015,Monday Jul 27,7:00 PM,"			 $18       ",
Skepta,,2015,Sunday Jul 26,7:00 PM,"			 $15       ",
BLISS with Will Eastman and The Elders,,2015,Saturday Jul 25,10:30 PM,"			 $10.00       ",
Little Boots,Prinze George,2015,Saturday Jul 25,7:00 PM,"			 $20       ",
DC Sanctuary Reunion,"DJ POPE, DJ Oji, Tim Eure, DJ Henry Da Man",2015,Friday Jul 24,10:30 PM,"			 $10.00       ",
Ryn Weaver,Sam Dew,2015,Friday Jul 24,7:00 PM,"			 $20       ",
Tanlines,Mas Ysa,2015,Thursday Jul 23,7:00 PM,"			 $15       ",
Darius,"Pat Lok, Seba Yuri",2015,Wednesday Jul 22,10:30 PM,"			 $10.00       ",
Emily King,"Redline Graffiti, The Shadowboxers",2015,Wednesday Jul 22,6:00 PM,"			 $20       ",
Son Lux,Landlady,2015,Monday Jul 20,7:00 PM,"			 $15       ",
Route 94,Alan Blancato,2015,Saturday Jul 18,10:30 PM,"			 $15.00       ",
Elle King,"Conner Youngblood, Gene Jr. & the Family",2015,Saturday Jul 18,7:00 PM,"			 $15       ",
Tuxedo DJ Set (Mayer Hawthorne + Jake One),DJ Provoke,2015,Friday Jul 17,10:30 PM,"			 $10.00       ",
Toe,StarRo,2015,Friday Jul 17,7:00 PM,"			 $17       ",
Spor,,2015,Thursday Jul 16,10:00 PM,"			 $15.00       ",
Federico Aubele,DJ Christine Moritz,2015,Thursday Jul 16,7:00 PM,"			 $20       ",
Kehlani,"with special guest, Pell",2015,Tuesday Jul 14,7:00 PM,"			 $18       ",
Chaz French,"Kelow, Jay IDK, Mista Selecta DJ set",2015,Sunday Jul 12,7:00 PM,"			 $15       ",
Lee Burridge,"Navbox, Brian Monaco",2015,Saturday Jul 11,10:30 PM,"			 $12.00       ",
Father,"KeithCharles Spacebar, Slug Christ",2015,Saturday Jul 11,7:00 PM,"			 $18       ",
Back in the Day,"Terry Mullan, Ray Casil, Buster, Sketti",2015,Friday Jul 10,10:00 PM,"			 $10.00       ",
Vinyl Theatre,Machineheart,2015,Tuesday Jul 7,7:00 PM,"			 $15       ",
The Return of Mr. V,Andy Grant B2B DJ Nav (all vinyl set),2015,Sunday Jul 5,9:00 PM,"			 $15.00       ",
Cut Copy DJs,"Knightlife, Steven Faith",2015,Saturday Jul 4,10:00 PM,"			 $15.00       ",
The Big Boom feat. DJ Dan,"Fort Knox Five, Diva Danielle",2015,Friday Jul 3,10:00 PM,"			 $10.00 - $15.00       ",
Space Jesus,"Plaeground, Esseks",2015,Thursday Jul 2,10:30 PM,"			 $15.00       ",
Ximena SariÃ±ana,Alex Ferreira,2015,Thursday Jul 2,7:00 PM,"			 $15       ",
Turquoise Jeep,Oxymorrons,2015,Sunday Jun 28,7:00 PM,"			 $18       ",
BLISS with Will Eastman and Brothers Brau,,2015,Saturday Jun 27,10:30 PM,"			 $10.00       ",
Sondre Lerche,Jonas Alaska,2015,Saturday Jun 27,7:00 PM,"			 $15       ",
Gigamesh,"Plastic Plates, Hugo Zapata",2015,Friday Jun 26,10:30 PM,"			 $15.00       ",
The Shadowboxers and Kopecky,The Walking Sticks,2015,Friday Jun 26,6:30 PM,"			 $15       ",
"Gent and Jawns, Meaux Green, Valentino Khan",Keylow,2015,Thursday Jun 25,10:30 PM,"			 $10.00 - $20.00       ",
Novalima,Nappy Riddem,2015,Thursday Jun 25,7:00 PM,"			 $18       ",
Black Sun Empire,"The Upbeats, State of Mind, Hyx, Des McMahon",2015,Wednesday Jun 24,10:15 PM,"			 $15.00       ",
Rubblebucket,Cuddle Magic,2015,Wednesday Jun 24,6:00 PM,"			 $20       ",
Jon Bellion,rhÃªtorÃ_k,2015,Tuesday Jun 23,7:00 PM,"			 $15       ",
King Gizzard & The Lizard Wizard,,2015,Sunday Jun 21,7:00 PM,"			 $15       ",
Tittsworth & Friends,"MikeQ, Vjuan Allure, DJ Baronhawk Poitier",2015,Saturday Jun 20,10:00 PM,"			 $10.00       ",
International Soul Society Festivalâ„¢ Urban Arts Festival & Dance Competitions,"The Book of Styles Popping Contest, The ABYSS: A House Dance Experience",2015,Saturday Jun 20,2:00 PM,"			 $15.00       ",
Miami Horror,Mr. Bonkerz,2015,Friday Jun 19,11:00 PM,"			 $15.00       ",
The Griswolds,Urban Cone,2015,Friday Jun 19,7:00 PM,"			 $15       ",
Brodinski,"LOUISAHHH!!!, Mathias",2015,Thursday Jun 18,10:30 PM,"			 $15.00       ",
RDGLDGRN,#NAME?,2015,Thursday Jun 18,7:00 PM,"			 $15       ",
Treasure Fingers & Kry Wolf,Ozker,2015,Wednesday Jun 17,10:00 PM,"			 $10.00       ",
Shamir,"Soft Lit, Forever Lesbians",2015,Tuesday Jun 16,7:00 PM,"			 $15       ",
Unknown Mortal Orchestra,Alex G,2015,Monday Jun 15,7:00 PM,"			 $17       ",
aural sex \ a pride sunday tea and evening dance,"James ""DJ Dub"" Graham",2015,Sunday Jun 14,4:00 PM,"			 $15.00       ",
Kim Ann Foxman,"DJ Lisa Frank, TNX DJs, Butch Queen",2015,Saturday Jun 13,10:00 PM,"			 $10.00       ",
The Maccabees,The Raised By Wolves,2015,Saturday Jun 13,6:30 PM,"			 $18       ",
"Sam Burns, Eau Claire & Philco",,2015,Friday Jun 12,10:00 PM,"			 $10.00       ",
Songhoy Blues (POSTPONED),,2015,Friday Jun 12,7:00 PM,"			 $20       ",
Atrak (at 9:30 Club),"AraabMUZIK, Ape Drums",2015,Thursday Jun 11,8:00 PM,"			 $25       ",
LEMAITRE,"ROOM8, City Rain",2015,Thursday Jun 11,8:00 PM,"			 $12.00       ",
Black Coffee,"Vanniety Kills vs. Seany Ranks, meegs",2015,Wednesday Jun 10,9:00 PM,"			 $15.00       ",
Ryan Hemsworth & Tommy Kruise,Keylow,2015,Saturday Jun 6,10:30 PM,"			 $15.00       ",
Justine Skye,Ras Nebyu,2015,Saturday Jun 6,7:00 PM,"			 $15       ",
Victor Calderone,Pentamon,2015,Friday Jun 5,10:30 PM,"			 $15.00       ",
JEFF the Brotherhood,"Dentist, Black Sparks",2015,Friday Jun 5,6:00 PM,"			 $15       ",
Nicole Moudaber,DJ Lisa Frank,2015,Thursday Jun 4,10:00 PM,"			 $20.00       ",
Kate Tempest,Den-Mate,2015,Thursday Jun 4,7:00 PM,"			 $15       ",
Daktyl and Ambassadeurs,Lance Neptune,2015,Wednesday Jun 3,10:30 PM,"			 $10.00       ",
Jedi Mind Tricks,Tef Wesley,2015,Wednesday Jun 3,7:00 PM,"			 $20       ",
Catfish & the Bottlemen (Cancelled),Highly Suspect,2015,Monday Jun 1,7:00 PM,"			 $20       ",
Seinabo Sey,James Davis,2015,Sunday May 31,7:00 PM,"			 $15       ",
"Anthony Parasole, Martyn, Mike Servito",,2015,Saturday May 30,10:00 PM,"			 $10.00       ",
Hudson Mohawke,"Refugee, Cosby",2015,Friday May 29,10:30 PM,"			 $15.00 - $20.00       ",
Ivan & Alyosha,Kris Orlowski,2015,Friday May 29,7:00 PM,"			 $15       ",
Shiba San,Shawn Q,2015,Thursday May 28,10:00 PM,"			 $15.00       ",
Rone & Fred Falke,Kochi,2015,Wednesday May 27,9:00 PM,"			 $12.00       ",
Kill Paris,Mathias,2015,Sunday May 24,10:00 PM,"			 $15.00       ",
LRC 2 with Special Guest Host Pat Stay,"Remyd vs Coma, Richard Cranium vs Cap Yuf, CL9WD vs SK, Purelydef vs Big Ant, Psych vs Richard Desire, Reginald Loud vs 3rd Degree",2015,Sunday May 24,3:30 PM,"			 $12.00       ",
BLISS with Nadastrom (Special Extended Set) & Ken Lazee,,2015,Saturday May 23,10:30 PM,"			 $10.00       ",
Klingande (at 9:30 Club),"Autograf, Juan Zapata",2015,Saturday May 23,9:00 PM,"			 $25       ",
Geographer,"Empires, Idlehands",2015,Saturday May 23,7:00 PM,"			 $20       ",
Catz 'n Dogz,"Tittsworth, Baronhawk",2015,Friday May 22,10:00 PM,"			 $12.00       ",
Crizzly,Antiserum,2015,Thursday May 21,10:00 PM,"			 $15.00       ",
William Fitzsimmons,Denison Witmer,2015,Thursday May 21,7:00 PM,"			 $20       ",
Moombahton Massive XLII,"Dave Nada, Sabo, Happy Colors, JSTJR",2015,Wednesday May 20,10:00 PM,"			 $10.00       ",
STWO,"Diversa, Chris McClenney, Lean Quatifah",2015,Sunday May 17,10:00 PM,"			 $10.00       ",
Rev 909: Daft Punk/French House tribute and Indie Dance classics,"Will Eastman, Ozker, and Visuals by Robin Bell",2015,Saturday May 16,10:00 PM,"			 $10.00       ",
Justin Martin,"Ardalan, Wave Age",2015,Friday May 15,10:30 PM,"			 $12.00       ",
Sam Prekop,Mountains,2015,Friday May 15,7:00 PM,"			 $15       ",
Penguin Prison (Live),"Fort Lean, Lightwaves (Live)",2015,Thursday May 14,8:00 PM,"			 $12.00       ",
Skream,"with Special Guest Waze & Odyssey, Chris Kennedy",2015,Wednesday May 13,10:00 PM,"			 $20.00       ",
Lo-Fang,Lo-Fang: Soundscape,2015,Wednesday May 13,6:30 PM,"			 $15       ",
Tennis,Kuroma,2015,Tuesday May 12,8:00 PM,"			 $18       ",
Holy Ghost! (DJ Set),"Ben Browning (Cut Copy) DJ Set, YPSET",2015,Saturday May 9,10:30 PM,"			 $15.00       ",
Hiatus Kaiyote,Rashad Smith,2015,Saturday May 9,7:00 PM,"			 $20       ",
Lee Foss,"Juan Zapata, Edo",2015,Friday May 8,10:30 PM,"			 $15.00       ",
Nick Hakim,Ben Talmi,2015,Friday May 8,7:00 PM,"			 $15       ",
Claude VonStroke,"Mark Starr, Nacey",2015,Thursday May 7,10:30 PM,"			 $15.00       ",
Stu Larsen & Natsuki Kurai,Matt Sanders,2015,Thursday May 7,7:00 PM,"			 $15       ",
FKJ (Live),Qdup,2015,Wednesday May 6,9:00 PM,"			 $12.00       ",
Oh Land,I Am Strikes,2015,Sunday May 3,7:00 PM,"			 $18       ",
Bit Funk,"jackLNDN, Citizen Select",2015,Saturday May 2,10:00 PM,"			 $10.00       ",
See-I,Black Alley,2015,Saturday May 2,7:00 PM,,
The Juan MacLean (Live),"The Black Madonna, Tommy Cornelis",2015,Friday May 1,10:00 PM,"			 $10.00       ",
Bag Raiders (DJ Set),BCKWTR,2015,Thursday Apr 30,10:30 PM,"			 $15.00       ",
Shy Girls,Young Ejecta,2015,Thursday Apr 30,7:00 PM,"			 $15       ",
Pomo & Falcons,"Gravez, Keylow, Lean Quatifah, JR Nelson",2015,Wednesday Apr 29,9:00 PM,"			 $15-$20       ",
Duke Dumont (at 9:30 Club),Will Eastman,2015,Saturday Apr 25,10:30 PM,"			 $20       ",
"BLISS with Will Eastman, Outputmessage & Caleb L'Etoile",,2015,Saturday Apr 25,10:30 PM,"			 $10.00       ",
Smallpools,"Grizfolk, Vinyl Theatre",2015,Saturday Apr 25,6:00 PM,"			 $20       ",
What So Not,"Nadus, I.V.",2015,Friday Apr 24,10:30 PM,"			 $20.00       ",
2015 DMC Washington DC Regional DJ Battle,"Sponsored by Shure, 12inchskinz, IDJNOW, Ortofon, Dubspot, Special Tech DJ, Beat Junkies Record Pool, Universal Zulu Nation, Thud Rumble",2015,Friday Apr 24,6:00 PM,"			 $10.00       ",
Terravita,"Des McMahon, Knoxbox",2015,Thursday Apr 23,11:00 PM,"			 $12.00       ",
Footwerk,"DJ Heat & Twinkdrumz, Trevor Young, Alfred The MC",2015,Thursday Apr 23,7:00 PM,"			 $15       ",
Dotcom & Victor Niglio,,2015,Wednesday Apr 22,10:00 PM,"			 $10.00 - $15.00       ",
Keenan Orr,"Native Sun, Braulio Agnese, Burymeinamink",2015,Tuesday Apr 21,8:00 PM,"			 $15.00       ",
Joey Fatts,"Maxo Kream, Robbie, Raven, Uno Hype, Vaunfe",2015,Monday Apr 20,7:00 PM,"			 $15       ",
Dieselboy & Downlink,"Rekoil, Julez",2015,Sunday Apr 19,10:00 PM,"			 $15.00       ",
Matthew Dear,"Andrew Grant, Jeremy Synz",2015,Saturday Apr 18,10:30 PM,"			 $10.00       ",
The Mowgli's,"Night Riots, Hippo Campus",2015,Saturday Apr 18,7:00 PM,"			 $17       ",
Maribou State (DJ Set),"Cassian, MartÃ_n Miguel",2015,Friday Apr 17,10:30 PM,"			 $10.00       ",
"Kitty, Daisy & Lewis",Gemma Ray,2015,Friday Apr 17,7:00 PM,"			 $15       ",
Matoma,"Solidisco, DJ Provoke",2015,Thursday Apr 16,10:30 PM,"			 $12.00       ",
Priests,"Protomartyr, The Gotobeds",2015,Thursday Apr 16,7:00 PM,"			 $15       ",
Gordo Brega CD Release Party,"Ethan Spalding, Uptown XO, King Streets, Cane, Snypa B, Anthony Naylor",2015,Sunday Apr 12,7:00 PM,"			 $15.00       ",
"DJ Lisa Frank, Refugee, Bil Todd, Posers (Panch b2b Djoser)",,2015,Saturday Apr 11,10:30 PM,"			 $10.00       ",
The Last Bison,Neulore,2015,Saturday Apr 11,7:00 PM,"			 $18       ",
Crookers,"RaceCarBed, Basscamp",2015,Friday Apr 10,10:30 PM,"			 $15.00       ",
MisterWives (New Date),"Marian Hill, Handsome Ghost",2015,Friday Apr 10,6:00 PM,"			 $15       ",
Alex Winston,"The Walking Sticks, Louis Weeks",2015,Thursday Apr 9,8:00 PM,"			 $12.00       ",
Shlohmo,"Purple (Live), Nick Melons",2015,Wednesday Apr 8,9:00 PM,"			 $18.00       ",
Moving Castle Showcase,"Dirty Chocolate, Hunt for the Breeze, Robokid, Yung Wall Street, Vices, Jailo, Manila Killa",2015,Sunday Apr 5,10:00 PM,"			 $5.00 - $15.00       ",
Gent & Jawns,"Andromulus, Spinser Tracy",2015,Saturday Apr 4,10:30 PM,"			 $10.00       ",
Cody Simpson,,2015,Saturday Apr 4,7:00 PM,"			 $28.50       ",
Charles Feelgood,"Freddy Be, Crimson Raiders",2015,Friday Apr 3,10:00 PM,"			 $10.00       ",
Raury,Ace Cosgrove,2015,Friday Apr 3,7:00 PM,"			 $15       ",
Clark and Nosaj Thing,Rival Consoles,2015,Thursday Apr 2,11:00 PM,"			 $15.00       ",
Reptar,"Sun Club, Breathers",2015,Thursday Apr 2,7:00 PM,"			 $18       ",
Bakermat (DJ set),Jus Nowhere,2015,Wednesday Apr 1,10:00 PM,"			 $15.00       ",
LILLYWOOD and the Prick,French Horn Rebellion,2015,Wednesday Apr 1,7:00 PM,"			 $25       ",
Halsey & Young Rising Sons,Olivver,2015,Monday Mar 30,7:00 PM,"			 $15       ",
Years & Years,Ozker,2015,Sunday Mar 29,9:00 PM,"			 $15       ",
"BLISS with Will Eastman, Nacey, & Yomimbi",,2015,Saturday Mar 28,10:30 PM,"			 $10.00       ",
MisterWives,Handsome Ghost,2015,Saturday Mar 28,6:00 PM,"			 $15       ",
