"","artist","main_genre"
"764","Mike Doughty","Alternative rock"
"765","Delta Rae","Blues rock"
"766","The Knocks","Electronic"
"767","Caravan Palace","Electro swing"
"768","ZZ Ward","Blues rock"
"769","Lee Fields & The Expressions","Soul"
"770","Alice Smith","Rock"
"771","Living Colour","Rock"
"772","Plain White T's","Pop punk"
"773","K. Michelle","R&B"
"774","Christopher Owens","Indie rock"
"775","Stephen Kellogg","Americana"
"776","Red Baraat","Jazz"
"777","Brett Eldredge","Country"
"778","CHVRCHES","Synth-pop"
"779","The 1975","Indie rock"
"780","Porter Robinson","Electro house"
"781","MS MR","Dream pop"
"782","FKA twigs","Electronic"
"783","Stromae","Hip hop"
"784","Kodaline","Indie folk"
"785","Ty Segall","Garage rock"
"786","Mac DeMarco","Indie rock"
"787","Death from Above 1979","Punk rock"
"788","Slowdive","Dream pop"
"789","Washed Out","Chillwave"
"790","Jamie xx","Electronica"
"791","Smallpools","Indie pop"
"792","The Drums","Indie pop"
"793","Future Islands","Synthpop"
"794","Mayday Parade","Pop punk"
"795","JR JR","Indie pop"
"796","We Were Promised Jetpacks","Indie rock"
"797","Foxygen","Indie rock"
"798","You Me At Six","Alternative rock"
"799","Broken Bells","Indie rock"
"800","Delta Spirit","Indie rock"
"801","London Grammar","Indie pop"
"802","Clean Bandit","Electronic"
"803","Lord Huron","Indie folk"
"804","Lake Street Dive","Southern rock"
"805","Conor Oberst","Indie rock"
"806","Kelis","Electronic"
"807","Zomboy","dubstep"
"808","Earl Sweatshirt","Hip hop"
"809","Mayer Hawthorne","Soul"
"810","St. Paul and The Broken Bones","Southern soul"
"811","Run The Jewels","Hip hop"
"812","Sam Hunt","Country3]4]"
"813","Dan + Shay","Country"
"814","RDGLDGRN","Alternative hip hop"
"815","The Strypes","Mod revival"
"816","Kevin Drew","Indie rock"
"817","Brandon Boyd","Alternative rock"
"818","Galantis","Electro house"
"819","Animals As Leaders","Progressive metal"
"820","Mike Gordon","Rock"
"821","We The Kings","Pop punk"
"822","Trey Anastasio Band","Alternative rock"
"823","Backyard Band","Go-go"
"824","Josh Abbott Band","Red Dirt"
"825","Greensky Bluegrass","Progressive bluegrass"
"826","Carolina Chocolate Drops","Old-time"
"827","The Madden Brothers","Pop rock"
"828","Big Star's Third","Rock"
"829","Crookers","Electro house"
"830","ODESZA","Indietronica"
"831","Tove Lo","Electropop"
"832","Milky Chance","Alternative rock"
"833","Glass Animals","Indie rock"
"834","Sylvan Esso","Electropop"
"835","Broods","Indie pop"
"836","George Ezra","Folk rock"
"837","Years & Years","Electropop"
"838","Shakey Graves","Americana"
"839","Leon Bridges","Soul"
"840","Neon Indian","Electronic"
"841","The Fratellis","Indie rock"
"842","Wavves","Indie rock"
"843","Echosmith","Rock"
"844","X Ambassadors","Rock"
"845","Azealia Banks","Hip hop"
"846","Courtney Barnett","Indie rock"
"847","Borgore","EDM"
"848","Death Grips","Experimental hip hop"
"849","PartyNextDoor","Hip hop"
"850","Ryn Weaver","Pop"
"851","KONGOS","Alternative rock"
"852","Catfish and the Bottlemen","Alternative rock"
"853","The Mowgli's","Alternative rock"
"854","Iration","Reggae"
"855","Parov Stelar","Electro swing"
"856","Ibeyi","Soul"
"857","Gregory Alan Isakov","Contemporary folk"
"858","The Growlers","Surf rock"
"859","Heartless Bastards","Blues rock"
"860","Gorgon City","House"
"861","Ariel Pink","Hypnagogic pop"
"862","Basement Jaxx","House"
"863","GoldLink","Hip hop"
"864","Kacey Musgraves","Country"
"865","Hurray for the Riff Raff","Folk"
"866","Tribal Seeds","Reggae"
"867","The Dead Milkmen","Punk rock"
"868","Klingande","Deep house"
"869","EL VY","Indie rock"
"870","The Arcs","Garage rock"
"871","Veruca Salt","hard rock"
"872","The Wood Brothers","Folk Blues"
"873","Benjamin Booker","Blues rock"
"874","G-Eazy","Hip hop"
"875","Sturgill Simpson","Country"
"876","Steven Wilson","Progressive rock"
"877","Asaf Avidan","Folk"
"878","The Academy Is...","Emo"
"879","Manic Street Preachers","Alternative rock"
"880","Bakermat","Electronic"
"881","Julian Casablancas+The Voidz","Experimental rock"
"882","Walk Off The Earth","Indie rock"
"883","Circa Waves","Indie rock"
"884","Spandau Ballet","New wave"
"885","Josh Rouse","Folk"
"886","EOTO","Electronic"
"887","Joe Pug","FolkAcousticFolk rockAmericana"
"888","Powerman 5000","Industrial metal"
"889","Lil Dicky","Hip hop"
"890","Maggie Rose","Country"
"891","Sam Amidon","Folk"
"892","Sons of Bill","Rock"
"893","Green Day","Punk rock"
"894","At the Drive-In","Post-hardcore"
"895","The Temper Trap","Indie rock"
"896","Oh Wonder","Indie pop"
"897","Saint Motel","Indie pop"
"898","AlunaGeorge","Synth-pop"
"899","Unknown Mortal Orchestra","Psychedelic rock"
"900","Pusha T","Hip hop"
"901","Young Thug","Hip hop"
"902","Esperanza Spalding","Jazz"
"903","Kaytranada","Electronic"
"904","James Vincent McMorrow","Folk"
"905","Elle King","Americana"
"906","Angel Olsen","Indie folk"
"907","Ben Harper & The Innocent Criminals","Folk rock"
"908","Blind Pilot","Indie folk"
"909","Dead Kennedys","Punk rock"
"910","Nicolas Jaar","Electronic"
"911","Jack Garratt","Indie pop"
"912","Thao & The Get Down Stay Down","Folk rock"
"913","The Struts","Glam rock"
"914","What So Not","Hip hop"
"915","ScHoolboy Q","Hip hop"
"916","Penguin Prison","Synthpop"
"917","Buzzcocks","Punk rock"
"918","Tokyo Police Club","Indie rock"
"919","The Oh Hellos","Folk rock"
"920","Matt Corby","Indie rock"
"921","Jess Glynne","R&B"
"922","The Lone Bellow","Americana"
"923","JMSN","Alternative R&B"
"924","AURORA","Electropop]"
"925","Christine and the Queens","Pop]"
"926","People Under the Stairs","Hip hop"
"927","Emily King","R&B"
"928","Parquet Courts","Indie rock"
"929","The Sonics","Garage rock"
"930","Niykee Heaton","Contemporary pop/rock"
"931","Consider the Source","Fusion"
"932","Foy Vance","Alternative rock"
"933","ZZ Top","Blues rock"
"934","The Snails","rock"
"935","Elephant Revival","Scottish/Celtic"
"936","Anders Osborne","Americana (music)"
"937","Mudcrutch","Southern rock"
"938","Steep Canyon Rangers","Bluegrass"
"939","Puddles Pity Party","Cabaret"
"940","Shooter Jennings","Outlaw country"
"941","Brian Fallon","Alternative rock"
"942","Atlas Road Crew","Alternative rock"
"943","Kaitlyn Aurelia Smith","Electronica"
"944","Diggy Simmons","Hip hop"
"945","Kevin Devine","Indie rock"
"946","Dubioza kolektiv","Rap rock"
"947","Jeff Austin","Progressive bluegrassJam band"
"948","Little Dragon","Trip hop"
"949","Vince Staples","Hip hop"
"950","Sampha","Electronic"
"951","Car Seat Headrest","Indie rock"
"952","Japandroids","Alternative rock"
"953","Mitski","Indie rock"
"954","Tash Sultana",NA
"955","Judah & the Lion","Americana"
"956","Highly Suspect","Hard rock"
"957","Allah-Las","Garage rock"
"958","BadBadNotGood","Post-bop"
"959","Beach Fossils","Indie rock"
"960","Bad Suns","Alternative rock"
"961","Waxahatchee","Indie rock"
"962","Betty Who","Synthpop"
"963","Cashmere Cat","R&B"
"964","Lizzo","Hip hop"
"965","Rag'n'Bone Man","Pop"
"966","The Pretty Reckless","Hard rock"
"967","Perfume Genius","Indie pop3]"
"968","Moon Taxi","Indie rock"
"969","PVRIS","Electropop"
"970","Jacob Sartorius","Pop"
"971","Julien Baker","Alternative rock"
"972","Katatonia","Progressive rock"
"973","Freddie Gibbs","Hip hop"
"974","The-Dream","R&B"
"975","The Zombies","Rock"
"976","Modern Baseball","Emo"
"977","Sunn O)))","Drone metal"
"978","The Strumbellas","Indie rock"
"979","Hamilton Leithauser",NA
"980","Rick Astley","Pop"
"981","The Record Company","Rock and roll"
"982","Jamestown Revival","Folk"
"983","Rising Appalachia","World"
"984","Giorgio Moroder","Disco"
"985","Ron Pope","Pop"
"986","Hope Sandoval And The Warm Inventions","Indie pop"
"987","Luke Combs","Country"
"988","Wolf Alice","Alternative rock"
"989","Mary Chapin Carpenter","Americana"
"990","Joe Ely","Americana"
"991","Gordon Lightfoot","Folk"
"992","David Grisman Quintet",NA
"993","George Martin","Rock"
"994","John Prine","Country"
"995","Jerry Jeff Walker","Country"
"996","Randy Newman","Rock"
"997","Joan Baez","Folk"
"998","Shawn Colvin","Contemporary folk"
"999","Emmylou Harris","Country"
"1000","Lloyd Cole","Rock"
"1001","Jay Farrar","Alternative country"
"1002","Marcus Miller","Jazz"
"1003","Buddy Guy","Chicago blues"
"1004","Alison Krauss","Bluegrass"
"1005","David Bromberg","Bluegrass"
"1006","Doc Watson","Blues"
"1007","Lyle Lovett","Texas country"
"1008","Hot Tuna","Blues"
"1009","Freddie Hubbard","Jazz"
"1010","Steve Forbert","Folk"
"1011","Mike Stern","Jazz"
"1012","Kelly Willis","Country"
"1013","Isaac Hayes","Blues"
"1014","Ricky Skaggs and Kentucky Thunder","Bluegrass"
"1015","The Subdudes","AmericanaRoots rockSwamp rockSouthern rockCajun/ZydecoNew Orleans R&BCountry soul"
"1016","Tim Reynolds","Instrumental rock"
"1017","Patty Loveless","Neotraditional country"
"1018","Suzy Bogguss","Country"
"1019","The Gourds","Alternative countryProgressive bluegrassTexas country"
"1020","Arlo Guthrie","Folk"
"1021","Cody Chesnutt","Rock and roll"
"1022","The Derek Trucks Band","Southern rock"
"1023","Procol Harum","Progressive rock"
"1024","Dick Dale","Surf rock"
"1025","Orchestra Baobab","Afro-Cuban-Caribbean fusion."
"1026","Solomon Burke","Blues"
"1027","Kimberley Locke","R&B"
"1028","Sarah Harmer","Folk"
"1029","Katie Melua","Blues"
"1030","Marc Cohn","Rock"
"1031","Los Straitjackets","Instrumental rock"
"1032","Vienna Teng","Folk"
"1033","Janis Ian","Folk"
"1034","Nanci Griffith","Folk"
"1035","Strawbs","Progressive rock"
"1036","Blackmore's Night","Celtic rock"
"1037","Johnny A.","Instrumental rock"
"1038","Ryan Cabrera","Pop rock"
"1039","Duncan Sheik","Rock"
"1040","Los Lobos","Chicano rock"
"1041","Jane Monheit","Vocal jazz"
"1042","Jimmie Dale Gilmore","Country"
"1043","Nellie McKay","Rock"
"1044","Poco","Country rock"
"1045","Shelby Lynne","Americana"
"1046","Chris Thile","Bluegrass"
"1047","Stephen Stills","Rock"
"1048","Keith Emerson","Progressive rock"
"1049","Wayne Newton","Jazz"
"1050","Jesse Winchester","Country"
"1051","Natalie MacMaster","Cape Breton fiddle music"
"1052","Melissa Ferrick","Folk-Rock"
"1053","Robin Trower","Blues-rock"
"1054","Dickey Betts & Great Southern","Southern rock"
"1055","Keiko Matsui","Smooth jazz"
"1056","Ricky Skaggs","Country"
"1057","The Charlie Daniels Band","Bluegrass"
"1058","Taylor Hicks","Blues rock"
"1059","Jonathan Coulton","Folk rock"
"1060","Suzanne Vega","Alternative rock"
"1061","Thomas Dolby","New wave"
"1062","Shemekia Copeland","Electric blues"
"1063","Mint Condition","R&B"
"1064","Brandi Carlile","Folk rock"
"1065","Colin Hay","Rock"
"1066","Jake Shimabukuro","Jazz"
"1067","Boyz II Men","R&B"
"1068","Dwele","Soul"
"1069","Uncle Earl","Americana"
"1070","Squirrel Nut Zippers","Swing revival"
"1071","North Mississippi Allstars","Southern rock"
"1072","Joan Armatrading","Rock"
"1073","Peter Frampton","Rock"
"1074","Don McLean","Folk"
"1075","Michael Bolton","Pop rock"
"1076","Nitty Gritty Dirt Band","Folk"
"1077","The Flatlanders","Country rock"
"1078","The Puppini Sisters","A cappella"
"1079","The Ditty Bops","Folk"
"1080","Seldom Scene","Bluegrass"
"1081","Spyro Gyra","Jazz"
"1082","Marty Stuart","Country"
"1083","Tower of Power","Soul"
"1084","Loudon Wainwright III","Folk"
"1085","Mary Black","Celtic"
"1086","Ledisi","R&B"
"1087","Kathy Mattea","Country"
"1088","Ben Lee","Indie pop"
"1089","Mindi Abair","Contemporary jazz"
"1090","Raul Malo","Americana"
"1091","Kenny ""Babyface"" Edmonds","R&B"
"1092","Todd Rundgren","Art rock"
"1093","Austin Lounge Lizards","Progressive bluegrass"
"1094","Richie Havens","Folk rock"
"1095","Joan Osborne","Rock"
"1096","Todd Snider","Americana"
"1097","Lisa Gerrard","Neoclassical dark wave"
"1098","Tom Paxton","Folk"
"1099","Moya Brennan","Irish Traditional"
"1100","Eddie from Ohio","Folk"
"1101","Rachelle Ferrell","R&B"
"1102","Amel Larrieux","R&B"
"1103","Vesta Williams","R&B"
"1104","Jackie Greene","Americana"
"1105","Boz Scaggs","Blue-eyed soul"
"1106","B.B. King","Blues"
"1107","Rodney Crowell","Country"
"1108","The Avett Brothers","Folk music"
"1109","Landon Pigg","Easy listening"
"1110","James McMurtry","Roots rock"
"1111","Yard Dogs Road Show","Cabaret"
"1112","Missy Higgins","Pop rock"
"1113","The Felice Brothers","Rock"
"1114","Crooked Still","Progressive bluegrass"
"1115","Chris Botti","Jazz"
"1116","Phil Vassar","Country"
"1117","Eric Roberson","Rhythm and blues"
"1118","Lori McKenna","Americana"
"1119","Antigone Rising","Rock"
"1120","Angie Stone","Soul"
"1121","Walter Beasley","Smooth Jazz"
"1122","Al Jarreau","Jazz"
"1123","Jann Arden","Pop"
"1124","Christine Lavin",NA
"1125","Diane Schuur","Jazz"
"1126","The Robert Cray Band","Blues"
"1127","Average White Band","Blue-eyed soul"
"1128","En Vogue","R&B"
"1129","Michael Feinstein","The Great American Songbook"
"1130","Tom Rush","Blues"
"1131","Christopher Cross","Pop rock"
"1132","Gaelic Storm","Celtic"
"1133","Roy Clark","Country"
"1134","Jerry Douglas","Americana"
"1135","Allan Holdsworth","Jazz fusion"
"1136","Hal Ketchum","Country"
"1137","Peter Noone","Rock"
"1138","Oleta Adams","Gospel"
"1139","The Greencards","Bluegrass"
"1140","The Waifs","Folk rock"
"1141","Guy Clark","Country"
"1142","Lizz Wright","vocal jazz"
"1143","The Proclaimers","Folk rock"
"1144","Tommy Emmanuel","Various"
"1145","Edwin McCain","Rock"
"1146","Nothin' Fancy","FolkCountryAmericanaBluegrass"
"1147","Old Blind Dogs","Scottish folk music"
"1148","Mary Gauthier","Folk"
"1149","Joe Bonamassa","Blues rock"
"1150","Phoebe Snow","Blues"
"1151","Shawn Mullins","Alternative rockCountry rock"
"1152","Frank Marino","Hard rock"
"1153","Beth Nielsen Chapman","Adult contemporary"
"1154","China Forbes",NA
"1155","B.J. Thomas","Country"
"1156","Holly Cole","Jazz"
"1157","Kenny Loggins","Rock"
"1158","Gato Barbieri","Jazz"
"1159","Sonny Landreth","Blues"
"1160","The Ventures","Instrumental rock"
"1161","Randy Bachman","Rock"
"1162","Pure Prairie League","Country rock"
"1163","The Fabulous Thunderbirds","Blues rock"
"1164","Julia Fordham","Pop"
"1165","Milton Nascimento","MPB"
"1166","Aaron Neville","R&B"
"1167","Bootsy Collins","Funk"
"1168","Eddy Grant","Reggae"
"1169","Melody Gardot","Jazz"
"1170","Jeffrey Osborne","Funk"
"1171","Del McCoury Band","BluegrassJam band"
"1172","Jonatha Brooke","Folk rock"
"1173","Catie Curtis","Folk rock"
"1174","Iris Dement","Folk"
"1175","The Bacon Brothers","Country rockFolk rock"
"1176","Musiq Soulchild","R&B"
"1177","Bob Schneider","Pop"
"1178","Meaghan Smith","Pop"
"1179","Kevin Costner and Modern West","Country rock"
"1180","Brian Culbertson","Jazz"
"1181","Ferras","Rock"
"1182","Junkhouse","Alternative rock"
"1183","Mark Erelli","AmericanaFolkPopCountry"
"1184","Bruce Foxton","Punk rock"
"1185","Bill Kirchen","Ameripolitan"
"1186","John Gorka","Folk"
"1187","Colin Blunstone","Rock"
"1188","Dweezil Zappa","Rock"
"1189","Bonnie 'Prince' Billy","Folk"
"1190","Teena Marie","R&B"
"1191","Steeleye Span","Electric folk"
"1192","Keb' Mo'","Delta blues"
"1193","Little Richard","Rock and roll"
"1194","Leon Redbone","Vaudevillian"
"1195","Arturo Sandoval","Jazz"
"1196","Vivian Green","R&B"
"1197","Najee","Smooth jazz"
"1198","Mother's Finest","Funk rock"
"1199","Gary Louris","Folk"
"1200","Jon McLaughlin","Pop rock"
"1201","Jamey Johnson","Country"
"1202","Mary Mary","Contemporary gospel"
"1203","Etta James","Blues"
"1204","Fred Eaglesmith","Alternative country"
"1205","Jesse Cook","New flamenco"
"1206","Gerald Albright","Jazz"
"1207","The Brand New Heavies","R&B"
"1208","Matthew Sweet","Power pop"
"1209","Dave Koz","Smooth jazz"
"1210","Jonny Lang","Blues"
"1211","Chick Corea","Jazz"
"1212","Rickie Lee Jones","Rock"
"1213","Rosanne Cash","Country"
"1214","Chris Smither","Folk"
"1215","Fourplay","Smooth jazz"
"1216","Ralph Stanley","Bluegrass"
"1217","The Rippingtons","Smooth jazz"
"1218","The Grascals","bluegrass"
"1219","Chip Taylor","Country"
"1220","Nick Lowe","Pub rock"
"1221","Raheem DeVaughn","R&B"
"1222","Jack Ingram","Country"
"1223","Level 42","Jazz-funk"
"1224","Mose Allison","Jazz"
"1225","Larry Graham","Funk"
"1226","Jon Anderson","Progressive rock"
"1227","Andy McKee","Folk"
"1228","Hot Rize","Bluegrass"
"1229","Richard Elliot","Jazz"
"1230","Fantasia Barrino","R&B"
"1231","Maxx Factor","Barbershop"
"1232","John Oates","Blue-eyed soul"
"1233","Carrie Newcomer","Folk"
"1234","Bobby McFerrin","Jazz"
"1235","Swing Out Sister","Pop"
"1236","David Sanborn","Jazz"
"1237","Travis Tritt","Country"
"1238","The Manhattans","Rhythm and blues"
"1239","The Association","Sunshine pop"
"1240","Jennifer Knapp","Folk rock"
"1241","Rick Braun","Smooth jazz"
"1242","Jonathan Butler","Rhythm and blues"
"1243","Nnenna Freelon","Vocal jazz"
"1244","Dan Tyminski","Bluegrass"
"1245","Dan Bern","Folk"
"1246","Stephanie Mills","R&B"
"1247","Sharon Little","R&B"
"1248","Nils Lofgren","Roots rock"
"1249","Cherryholmes","Bluegrass"
"1250","Jaheim","R&B' hip hop"
"1251","Jimmie Vaughan","Electric blues"
"1252","Lucy Wainwright Roche","Folk"
"1253","Firefall","Country rock"
"1254","Terri Clark","Country"
"1255","Ian Anderson","Progressive rock"
"1256","Basia","Pop"
"1257","Katherine Jenkins","Classical-crossover"
"1258","Natasha Bedingfield","R&B"
"1259","Avery*Sunshine","R&B"
"1260","Baaba Maal","Yela"
"1261","Van Hunt","Neo soul"
"1262","Spin Doctors","Rock"
"1263","Chaka Khan","R&B"
"1264","Jazz Crusaders","Jazz"
"1265","Mediaeval Baebes","Classical"
"1266","Chris Isaak","Rock and roll"
"1267","Rockapella","A cappella"
"1268","Los Lonely Boys","Chicano rock"
"1269","Don Williams","Country"
"1270","Stanley Jordan","Jazz"
"1271","Eric Johnson","Rock"
"1272","Three Dog Night","Folk rock"
"1273","Kenny G","Adult contemporary"
"1274","Tom Morello: The Nightwatchman","Folk rock"
"1275","Chely Wright","Country"
"1276","Ray Manzarek","Psychedelic rock"
"1277","Kaki King","Acoustic rock"
"1278","Ellis Paul","FolkPop"
"1279","Peter Wolf","Rock and roll"
"1280","The High Kings","Traditional Irish"
"1281","Elizabeth Cook","Country"
"1282","Junior Brown","Texas country"
"1283","Livingston Taylor","Folk"
"1284","Matt Dusk","Jazz"
"1285","Seth Glier","Folk"
"1286","Melanie Fiona","R&B"
"1287","Herman's Hermits","Beat"
"1288","Karla Bonoff","Folk rock"
"1289","Jerry Butler","Chicago soul"
"1290","Vanilla Fudge","Psychedelic rock"
"1291","Billy Joe Shaver","Country music"
"1292","Staff Benda Bilili",NA
"1293","Robert Glasper Experiment","Jazz"
"1294","Joe Sample","Jazz"
"1295","Enter the Haggis","Celtic rockFolk rockIndie rockRoots rock"
"1296","Tyrone Wells","Folk pop"
"1297","Gretchen Parlato","Jazz"
"1298","Leela James","Soul"
"1299","Aaron Lewis","Alternative metal"
"1300","Howie Day","Pop rock"
"1301","Eliane Elias","Jazz"
"1302","The Yardbirds","Blues rock"
"1303","Hauschka","Electronic music"
"1304","The Manhattan Transfer","Vocal jazz"
"1305","Ramsey Lewis","Jazz"
"1306","Chatham County Line","Bluegrass"
"1307","Ruthie Foster","Blues"
"1308","The Mavericks","Americana"
"1309","Alfie Boe","Classical crossover"
"1310","Carrie Rodriguez","Country"
"1311","Southside Johnny","Rock"
"1312","Alan Doyle","Folk-Rock"
"1313","Soul II Soul","Soul"
"1314","John Mayall","Blues rock"
"1315","The Desert Rose Band","Country"
"1316","Paul Thorn","Americana"
"1317","Tift Merritt","FolkAmericanaAlternative country"
"1318","Sarah Lee Guthrie & Johnny Irion","Folk"
"1319","J.D. Crowe","Bluegrass"
"1320","Jorge Drexler","Latin pop"
"1321","George Thorogood and The Destroyers","Blues rock"
"1322","Billy Cobham","Jazz"
"1323","Madeleine Peyroux","Jazz"
"1324","Beth Hart","Blues rock"
"1325","JD McPherson","Rock and roll"
"1326","Tab Benoit","Swamp blues"
"1327","Laura Mvula","R&B"
"1328","Pokey LaFarge","Jazz"
"1329","Turnpike Troubadours","Country rock"
"1330","Justin Hayward","Rock"
"1331","Preservation Hall Jazz Band","Jazz"
"1332","Sarah Jarosz","Americana"
"1333","Hayes Carll","Country"
"1334","Bruce Robison","Folk"
"1335","George Duke","Jazz fusion"
"1336","The Fab Faux","Rock and RollBeatles tribute"
"1337","Amy Grant","Contemporary Christian"
"1338","Burton Cummings","Rock"
"1339","Elaine Paige",NA
"1340","Bill Payne","Rock"
"1341","Jarabe de Palo","Spanish rock"
"1342","Marshall Tucker Band","Southern rock"
"1343","Andy Grammer","Pop rock"
"1344","Imelda May","Rockabilly"
"1345","Marion Meadows","Jazz"
"1346","Brandy Clark","Country"
"1347","Richard Marx","Pop rock"
"1348","Joe Henry","Alt-country"
"1349","Peaches & Herb","Disco"
"1350","Hugh Masekela","Jazz"
"1351","The Milk Carton Kids","Folk"
"1352","Parmalee","Country"
"1353","Earl Klugh","Smooth jazz"
"1354","The Secret Sisters","Americana"
"1355","Stanley Clarke","Jazz"
"1356","Chris Hillman","Folk"
"1357","Gino Vannelli","Pop"
"1358","Gary Burton","Jazz"
"1359","Brenda Russell","Pop"
"1360","Jim Brickman","Pop"
"1361","Robin Zander","Rock"
"1362","Five For Fighting","Soft rock"
"1363","Jessica Lea Mayfield","Alt. country"
"1364","Lyfe Jennings","R&B"
"1365","The Commodores","R&B"
"1366","Loreena McKennitt","Celtic"
"1367","Toadies","Alternative rock"
"1368","Ry Cooder","Americana"
"1369","Lee Ann Womack","Neotraditionalist country"
"1370","Al Stewart","Rock"
"1371","The Oak Ridge Boys","Country"
"1372","Madisen Ward and the Mama Bear","Folk"
"1373","Wynonna","Country"
"1374","Mark O'Connor","Classical music"
"1375","Mike & The Mechanics","Rock"
"1376","Ruben Studdard","Pop"
"1377","Larry Gatlin","Country"
"1378","Ian Tyson","Country"
"1379","Marc Roberge","Alternative rock"
"1380","Samantha Fish","Blues"
"1381","Ludovico Einaudi","Minimalist music"
"1382","Boy & Bear","Indie rock"
"1383","Anderson East","Southern soul"
"1384","The Smithereens","Alternative rock"
"1385","Branford Marsalis","Jazz"
"1386","Hard Working Americans","Blues rock"
"1387","Little River Band","Rock"
"1388","Tanya Tucker","Country"
"1389","Margo Price","Country"
"1390","Sawyer Fredericks","Contemporary folk"
"1391","Tal Wilkenfeld","Jazz"
"1392","The Hot Sardines","Jazz"
"1393","Dave Mason","Folk rock"
"1394","Robben Ford","Blues"
"1395","Lorrie Morgan","Country"
"1396","Valerie June","Americana"
"1397","Mashrou' Leila","Indie rock"
"1398","The Fixx","Rock"
"1399","Abigail Washburn","AmericanaOld-time music"
"1400","Ladysmith Black Mambazo","Isicathamiya"
"1401","Melissa Etheridge","Heartland rock"
"1402","Mariza","Fado"
"1403","Montgomery Gentry","Country"
"1404","Gene Ween","Alternative rock"
"1405","Nikki Lane","Outlaw country"
"1406","Allison Moorer","Americana"
"1407","Amanda Shires","Americana"
"1408","Sierra Hull","Bluegrass"
"1409","Tony Trischka","Bluegrass"
"1410","Red Molly","Folk music"
"1411","John Tesh","Pop"
"1412","Marcia Ball","New Orleans blues"
"1413","John McCutcheon","Folk"
"1414","Bikini Kill","Punk rock"
"1415","Jeff Buckley","Alternative rock"
"1416","Ozric Tentacles","Psychedelic rock"
"1417","Frodus","Post-hardcore"
"1418","NoMeansNo","Punk rock"
"1419","Shane MacGowan & The Popes","Celtic punk"
"1420","Will Oldham","Folk"
"1421","Mike Watt","Punk rock"
"1422","The Vandals","Pop punk"
"1423","J Mascis","Alternative rock"
"1424","Neutral Milk Hotel","Indie rock"
"1425","Mazzy Star","Alternative rock"
"1426","Pansy Division","Pop punk"
"1427","The Dambuilders","Indie rock"
"1428","Chixdiggit!","Punk rock"
"1429","Dressy Bessy","Indie rockPower pop"
"1430","Gas Huffer","Garage rock"
"1431","Asian Dub Foundation","Big beat"
"1432","T.S.O.L.","Hardcore punk"
"1433","16 Horsepower","Alternative country"
"1434","Giant Sand","Alternative rock"
"1435","Atom and His Package","Punk rock"
"1436","The (International) Noise Conspiracy","Indie rock"
"1437","Grant Hart","Alternative rock"
"1438","Neko Case","Indie rock"
"1439","Pedro the Lion","Indie rock"
"1440","Dabrye","IDM"
"1441","The Reputation","Indie rock"
"1442","Tanya Donelly","Indie rock"
"1443","Scout Niblett","Indie rock"
"1444","The Legendary Pink Dots","Avant-garde rockExperimentalNeo-psychedeliaAmbientPost-punkIndustrialNoiseSynthpopIndustrial rockNoise rock"
"1445","The American Analog Set","Indie rock"
"1446","The Rezillos","Punk rock"
"1447","John Vanderslice","Experimental rock"
"1448","Centro-Matic","Alternative country"
"1449","Daniel Ash","Alternative rock"
"1450","British Sea Power","Indie rock"
"1451","The Postal Service","Indietronica"
"1452","Evan Dando","Alternative rock"
"1453","Vic Chesnutt","Folk rock"
"1454","The Delgados","Indie rockSymphonic pop"
"1455","Dirty Three","Instrumental rock"
"1456","Goldblade","Punk rock"
"1457","Les Sans Culottes","French rock"
"1458","Turbonegro","Punk rock"
"1459","Jeffrey Lewis","Anti-folk"
"1460","Mouse on Mars","IDM"
"1461","Kimya Dawson","Folk punk"
"1462","K's Choice","Alternative rock"
"1463","Exit Clov","Indie pop"
"1464","Jaga Jazzist","Nu jazzAcid jazzJazz fusionExperimental rockPost-rock"
"1465","Graham Coxon","Alternative rock"
"1466","The Wedding Present","Indie rock"
"1467","Starflyer 59","Alternative rock"
"1468","Stephen Malkmus","Indie rock"
"1469","Melt-Banana","Noise rock"
"1470","Denison Witmer","Acoustic"
"1471","Shonen Knife","Pop punk"
"1472","Dungen","Indie rock"
"1473","The Ocean Blue","Indie pop"
"1474","The Wonder Stuff","Alternative rock"
"1475","We Are Scientists","Indie rock"
"1476","Magnolia Electric Co.","Indie rock"
"1477","Architecture In Helsinki","Indie pop"
"1478","Pernice Brothers","Indie rock"
"1479","Craig Wedren","Indie rock"
"1480","Art Brut","Indie rock"
"1481","Oxford Collapse","Indie rock"
"1482","Wolf Parade","Indie rock"
"1483","Thee Silver Mt. Zion Memorial Orchestra","Experimental rock"
"1484","The Hellacopters","Post-punk revival"
"1485","The 88","Power pop"
"1486","Amy Millan","Indie rock"
"1487","Be Your Own Pet","Garage punk"
"1488","Sunset Rubdown","Indie rock"
"1489","French Kicks","Garage rockPost-punk revivalIndie rock"
"1490","Au Revoir Simone","Dream pop"
"1491","Red Sparowes","Post-rock"
"1492","Dean & Britta","Indie pop"
"1493","Circle Takes the Square","Screamo"
"1494","Do Make Say Think","Post-rock"
"1495","Midlake","Indie rockFolk rockPsychedelic rockProgressive rock"
"1496","Patrick Wolf","IndietronicaFolktronicaAlternative rockBaroque pop"
"1497","The Thermals","Indie rock"
"1498","Junior Boys","Electropop"
"1499","KRS-One","Hip hop"
"1500","A Place To Bury Strangers","Noise rock"
"1501","Hoodoo Gurus","Rock"
"1502","Black Lips","Garage rock"
